model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,27,6728532.691166028,0.720060903800126,1.0,0.2249638487172464,0.0010713266388034152,3.0,112.0,0.01167668787391711,0.06874288322985424,128.0,0.8847690815887301
LGBM,73,6741492.267473903,0.7246841770891098,1.0,0.25232406652809114,0.0010518398162175195,3.0,112.0,0.022901672522617537,0.08543799965115409,114.0,0.864147800151194
LGBM,24,6748608.519026819,0.7056380738797711,2.0,0.27478242868934977,0.001039468414062182,3.0,92.0,0.03859847272964373,0.08823452078496354,128.0,0.9108749886290568
LGBM,67,6759469.662523222,0.7668030674632519,1.0,0.30679665070467166,0.0010408407966375761,3.0,106.0,0.040456518240191114,0.08882292800233899,116.0,0.9261527840937738
LGBM,20,6799768.3017251855,0.7036280169184692,2.0,0.30481084469052194,0.001145821158523856,3.0,92.0,0.04442836684946285,0.09907804911802134,122.0,0.9244776457753081
LGBM,65,6814090.716744863,0.7087545667017987,2.0,0.29827464424918093,0.001196386068724321,3.0,94.0,0.044589207218946755,0.09860465329685747,120.0,0.9638431350420466
LGBM,32,6831186.325639565,0.7271767790598673,1.0,0.24289147617904086,0.0013429620146811917,3.0,120.0,0.048390680353509005,0.060743682868386696,118.0,0.840535919196448
LGBM,86,6871225.334380246,0.971332096861355,1.0,0.3780935082394857,0.0010427303163091438,4.0,92.0,0.045929020438275084,0.09190295418662113,44.0,0.869599711725062
LGBM,68,6895061.6520652985,0.7600973518047022,1.0,0.261745168940693,0.0015790965974489934,3.0,118.0,0.058047620974031024,0.06725102104083816,116.0,0.8546315555884624
LGBM,44,6909583.875725854,0.8486898945812592,2.0,0.42169714007278414,0.0015008303060724145,3.0,116.0,0.015139162803173706,0.0566623251808309,70.0,0.8468333303488558
LGBM,58,6930923.213616725,0.8700241670970402,1.0,0.37643812030739865,0.0010200966216220978,5.0,110.0,0.013324041475739842,0.07748021932664105,100.0,0.9536189543766662
LGBM,59,6941229.804422669,0.9042863338328487,3.0,0.3184016362150303,0.0013065531773062032,4.0,94.0,0.04461524261503773,0.05809497522427513,92.0,0.9386502157368669
LGBM,74,6949000.949069335,0.7005801837532075,1.0,0.25888102262095897,0.001417854267653745,4.0,112.0,0.021875888686597737,0.0770570056072352,108.0,0.8656817766273686
LGBM,37,6954580.54483848,0.7876732883718953,2.0,0.20116371828521917,0.0015644157399665227,4.0,168.0,0.019648004103256213,0.09247478998917234,128.0,0.8913543359078442
LGBM,85,6957617.647702918,0.7714300614189848,2.0,0.4460219124791463,0.0017336237121153837,3.0,124.0,0.030778533412412636,0.08659397428076832,124.0,0.931702841513859
LGBM,26,6967850.858153524,0.8899874775646854,2.0,0.32192212381176644,0.001946879333765921,3.0,138.0,0.061624937807099364,0.07960108904103796,112.0,0.9973132598699348
LGBM,81,6982432.321469573,0.7010710590693594,2.0,0.706101485415304,0.0012677531773680078,4.0,136.0,0.020238692242285465,0.06554330011223579,76.0,0.853203605151175
LGBM,96,6993236.886101186,0.730303403451615,1.0,0.21793248099135598,0.002170961720854042,3.0,92.0,0.0358034335993181,0.06169126275259811,90.0,0.8207236774845506
LGBM,76,7001832.112091648,0.7559718752520512,2.0,0.395824503437575,0.0020271492577940853,3.0,118.0,0.017731501983588492,0.08566816351335389,126.0,0.7716339146873112
LGBM,82,7002877.9174827095,0.7160205798391555,1.0,0.33637288482028116,0.0020926262461764835,3.0,130.0,0.023077918624062527,0.0757297925049142,68.0,0.7120720315870007
LGBM,22,7013297.896987188,0.7006479217709352,2.0,0.275260086093247,0.0010442928112344022,9.0,96.0,0.040532579342783454,0.09871216215938725,124.0,0.92151503898836
LGBM,30,7024384.937979396,0.8614597031734414,1.0,0.38636045967219623,0.0022692643398393698,3.0,130.0,0.036109601068218936,0.09065740698680541,128.0,0.7898803103988389
LGBM,72,7031606.291855622,0.7126722699489331,1.0,0.20683092241058926,0.0018759093900194304,4.0,98.0,0.04210705562942767,0.06369973137280124,128.0,0.9095244534821859
LGBM,90,7033595.475190008,0.747682982927454,1.0,0.5139074597726007,0.0015744754278010915,4.0,108.0,0.012113630160247357,0.05335882293077518,94.0,0.7599978945815633
